,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assemblies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_groups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory_FR_mean,0.237,0.452,0.587,0.478,0.634,0.368,0.658,0.663,0.258,0.274,0.329,0.393,0.244,0.244,0.338,0.705,2.055,2.849,16.203,6.672
Excitatory_FR_std,0.012,0.01,0.026,0.025,0.042,0.03,0.063,0.061,0.032,0.064,0.122,0.132,0.228,0.278,0.398,0.504,0.826,1.064,21.892,3.706
Inhibitory_FR_mean,0.227,0.438,0.558,0.453,0.6,0.341,0.61,0.61,0.241,0.251,0.281,0.326,0.195,0.15,0.184,0.48,1.642,2.077,14.131,3.257
Inhibitory_FR_std,0.013,0.013,0.033,0.034,0.058,0.042,0.079,0.088,0.061,0.096,0.266,0.315,0.317,0.376,0.445,0.489,0.806,1.05,20.933,3.867
G_cov,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.001,0.002,0.002,0.002,0.004,0.004,0.005,0.008,0.012,0.008,0.041,0.022
Post_Synaptic_FR,0.585,0.616,0.76,0.644,0.855,0.885,0.999,1.212,1.099,0.838,1.893,2.264,1.768,2.439,2.313,2.008,1.615,0.502,5.891,0.0
CV_ISI,0.056,0.075,0.038,0.049,0.096,0.06,0.063,0.081,0.077,0.097,0.069,0.142,0.071,0.127,0.093,0.147,0.115,0.053,,
EI_IN_mu,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.225,0.044
EI_OUT_mu,0.008,0.006,0.012,0.008,0.008,0.008,0.006,0.01,0.006,0.004,0.007,0.006,0.005,0.005,0.005,0.007,0.008,0.008,0.211,0.047
EE_mu,0.008,0.006,0.011,0.008,0.008,0.007,0.006,0.007,0.005,0.005,0.006,0.005,0.004,0.004,0.004,0.004,0.006,0.008,0.158,0.053
II_mu,0.009,0.006,0.012,0.009,0.009,0.008,0.007,0.012,0.007,0.004,0.007,0.006,0.006,0.007,0.006,0.009,0.009,0.012,0.245,0.036
EI_IN_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.013,0.008
EI_OUT_std,0.007,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.013,0.007
EE_std,0.007,0.006,0.005,0.006,0.004,0.004,0.005,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.001,0.006,0.006
II_std,0.007,0.006,0.006,0.005,0.003,0.004,0.005,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.012,0.005
W_Cor,0.245,0.239,0.302,0.339,0.261,0.338,0.482,0.228,0.397,0.477,0.409,0.393,0.35,0.296,0.42,0.319,0.349,0.254,0.371,0.439
eW_Dist,0.08,0.152,0.08,0.095,0.051,0.072,0.053,0.042,0.044,0.013,0.022,0.016,0.01,0.013,0.009,0.009,0.006,0.004,0.006,0.003
iW_Dist,0.073,0.113,0.081,0.087,0.085,0.084,0.092,0.04,0.037,0.042,0.031,0.028,0.038,0.011,0.013,0.013,0.022,0.015,0.006,0.022
