,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
W,5.0,5.263,5.556,5.882,6.25,6.667,7.143,7.692,8.333,9.091,10.0,11.111,12.5,14.286,16.667,20.0,25.0,33.333,50.0,100.0
p,1.0,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.05
r_ee,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ie,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ei,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ii,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
noise_ratio,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
target_rate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
rate,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Assemblies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
number_of_groups,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Excitatory_FR_mean,9.357,9.665,9.938,10.204,10.567,11.261,11.167,11.442,12.259,12.682,12.894,13.167,13.614,13.785,14.065,14.551,16.322,18.925,26.369,67.338
Excitatory_FR_std,0.133,0.159,0.18,0.195,0.219,0.225,0.284,0.31,0.312,0.411,0.519,0.816,1.204,1.676,2.428,3.52,5.46,7.727,20.724,70.535
Inhibitory_FR_mean,9.475,9.793,10.071,10.342,10.704,11.382,11.324,11.602,12.38,12.79,13.008,13.321,13.711,13.957,14.215,14.778,16.576,18.832,26.306,66.116
Inhibitory_FR_std,0.152,0.189,0.213,0.235,0.26,0.259,0.335,0.366,0.361,0.407,0.588,0.832,1.003,1.692,2.458,3.614,5.626,7.594,20.374,70.346
G_cov,0.008,0.008,0.009,0.008,0.008,0.007,0.008,0.008,0.006,0.007,0.007,0.009,0.012,0.017,0.022,0.036,0.051,0.051,0.09,0.147
Post_Synaptic_FR,11.14,10.7,10.617,9.63,9.577,9.553,8.983,8.937,9.263,9.303,9.617,9.16,10.183,10.67,10.527,11.513,11.973,13.537,11.247,0.0
CV_ISI,0.634,0.645,0.615,0.607,0.667,0.625,0.674,0.69,0.644,0.665,0.627,0.665,0.613,0.596,0.606,0.558,0.489,0.321,,
EI_IN_mu,0.996,0.995,0.994,0.994,0.993,0.992,0.991,0.99,0.99,0.99,0.989,0.988,0.988,0.987,0.985,0.983,0.978,0.975,0.974,0.958
EI_OUT_mu,0.78,0.801,0.814,0.833,0.852,0.859,0.871,0.874,0.888,0.896,0.898,0.905,0.908,0.911,0.912,0.915,0.913,0.922,0.932,0.959
EE_mu,0.786,0.808,0.82,0.839,0.858,0.865,0.879,0.881,0.896,0.904,0.905,0.912,0.918,0.919,0.922,0.926,0.928,0.937,0.86,0.402
II_mu,0.776,0.797,0.81,0.827,0.846,0.852,0.864,0.867,0.881,0.888,0.892,0.897,0.9,0.904,0.902,0.905,0.901,0.909,0.776,0.166
EI_IN_std,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.012,0.031
EI_OUT_std,0.026,0.025,0.024,0.021,0.018,0.018,0.016,0.017,0.013,0.011,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.016,0.03
EE_std,0.025,0.025,0.024,0.022,0.019,0.018,0.016,0.018,0.013,0.011,0.012,0.011,0.01,0.01,0.009,0.01,0.009,0.007,0.01,0.026
II_std,0.026,0.025,0.024,0.021,0.018,0.018,0.015,0.016,0.013,0.012,0.013,0.011,0.011,0.011,0.01,0.011,0.012,0.011,0.018,0.028
W_Cor,0.595,0.594,0.561,0.419,0.504,0.337,0.32,0.368,0.266,0.312,0.244,-0.051,-0.17,-0.2,-0.192,-0.244,-0.18,-0.159,-0.143,-0.168
eW_Dist,0.765,0.778,0.817,0.791,0.856,0.867,0.921,0.908,0.933,0.959,0.962,0.973,0.975,0.979,0.985,0.984,0.989,0.989,0.988,0.993
iW_Dist,0.802,0.827,0.802,0.793,0.806,0.836,0.839,0.907,0.905,0.909,0.934,0.95,0.94,0.967,0.977,0.965,0.953,0.971,0.973,0.965
