,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
W,1.0,1.053,1.111,1.176,1.25,1.333,1.429,1.538,1.667,1.818,2.0,2.222,2.5,2.857,3.333,4.0,5.0,6.667,10.0,20.0
p,1.0,0.95,0.9,0.85,0.8,0.75,0.7,0.65,0.6,0.55,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.05
r_ee,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ie,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ei,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
r_ii,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
noise_ratio,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
target_rate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
rate,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Assemblies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
number_of_groups,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Excitatory_FR_mean,5.735,5.91,5.958,5.909,5.914,6.329,5.949,5.861,6.551,6.566,6.964,6.923,7.445,7.713,7.834,8.619,9.396,11.717,12.791,39.383
Excitatory_FR_std,0.439,0.534,0.658,0.82,0.94,1.085,1.258,1.364,1.624,1.904,2.125,2.377,2.754,3.156,3.507,4.204,5.097,7.039,9.939,45.613
Inhibitory_FR_mean,5.887,6.087,6.156,6.132,6.164,6.552,6.241,6.175,6.799,6.841,7.234,7.234,7.737,8.028,8.19,8.954,9.755,11.702,13.341,38.376
Inhibitory_FR_std,0.45,0.538,0.672,0.812,0.949,1.086,1.281,1.426,1.691,1.906,2.219,2.423,2.747,3.258,3.577,4.352,5.246,7.003,10.114,45.053
G_cov,0.064,0.059,0.06,0.064,0.058,0.049,0.062,0.053,0.051,0.059,0.057,0.058,0.061,0.061,0.064,0.073,0.083,0.074,0.104,0.16
Post_Synaptic_FR,5.2,5.063,5.153,5.3,5.373,5.357,5.2,5.14,5.537,5.233,5.61,5.87,6.39,6.427,7.05,8.157,9.4,14.077,18.283,0.037
CV_ISI,0.879,0.894,0.881,0.844,0.878,0.87,0.917,0.854,0.85,0.88,0.811,0.863,0.838,0.803,0.842,0.77,0.76,0.625,0.599,
EI_IN_mu,0.978,0.968,0.961,0.955,0.948,0.945,0.933,0.923,0.922,0.913,0.908,0.895,0.89,0.878,0.863,0.849,0.831,0.819,0.791,0.774
EI_OUT_mu,0.121,0.151,0.178,0.183,0.203,0.238,0.217,0.226,0.289,0.297,0.325,0.331,0.38,0.402,0.408,0.458,0.479,0.554,0.564,0.571
EE_mu,0.126,0.157,0.184,0.19,0.211,0.247,0.225,0.235,0.302,0.312,0.34,0.349,0.406,0.427,0.439,0.497,0.526,0.62,0.629,0.664
II_mu,0.119,0.148,0.175,0.179,0.199,0.231,0.211,0.219,0.278,0.284,0.312,0.316,0.358,0.377,0.379,0.425,0.437,0.5,0.471,0.402
EI_IN_std,0.002,0.003,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.006,0.007,0.009,0.009,0.008,0.01,0.011,0.01,0.011,0.014,0.023
EI_OUT_std,0.028,0.026,0.031,0.029,0.031,0.03,0.027,0.03,0.03,0.026,0.029,0.028,0.028,0.029,0.028,0.025,0.026,0.023,0.022,0.017
EE_std,0.028,0.026,0.031,0.03,0.032,0.031,0.027,0.031,0.032,0.028,0.03,0.029,0.029,0.029,0.027,0.026,0.025,0.02,0.019,0.015
II_std,0.028,0.026,0.03,0.029,0.03,0.03,0.026,0.029,0.028,0.025,0.027,0.027,0.028,0.028,0.026,0.025,0.025,0.025,0.024,0.016
W_Cor,0.953,0.948,0.937,0.926,0.917,0.854,0.773,0.826,0.613,0.744,0.66,0.62,0.447,0.401,0.379,0.199,0.243,0.087,0.029,-0.192
eW_Dist,0.365,0.51,0.638,0.668,0.742,0.83,0.883,0.862,0.926,0.935,0.944,0.953,0.95,0.963,0.973,0.976,0.981,0.987,0.986,0.992
iW_Dist,0.337,0.513,0.653,0.637,0.738,0.833,0.881,0.912,0.933,0.943,0.95,0.959,0.961,0.968,0.976,0.978,0.968,0.983,0.976,0.963
