,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assemblies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_groups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory_FR_mean,0.276,0.605,0.554,0.58,0.863,0.588,0.781,0.867,0.536,0.463,0.753,0.917,0.624,0.885,0.689,1.001,1.296,2.629,7.545,6.597
Excitatory_FR_std,0.026,0.026,0.031,0.044,0.055,0.046,0.097,0.107,0.066,0.077,0.143,0.264,0.303,0.317,0.3,0.271,0.333,1.133,7.65,4.031
Inhibitory_FR_mean,0.263,0.578,0.519,0.545,0.809,0.548,0.711,0.792,0.488,0.422,0.656,0.785,0.487,0.705,0.485,0.688,0.885,1.855,5.973,3.287
Inhibitory_FR_std,0.025,0.02,0.039,0.052,0.079,0.069,0.119,0.115,0.131,0.153,0.255,0.346,0.346,0.388,0.363,0.231,0.41,1.199,6.797,3.633
G_cov,0.004,0.003,0.003,0.004,0.004,0.005,0.006,0.004,0.003,0.004,0.004,0.003,0.005,0.007,0.005,0.008,0.013,0.01,0.017,0.025
Post_Synaptic_FR,0.438,0.499,0.788,0.822,0.819,1.276,1.326,1.252,1.574,1.144,2.121,2.05,1.622,2.368,2.139,1.95,1.976,0.908,1.4,0.0
CV_ISI,0.077,0.049,0.096,0.103,0.074,0.094,0.063,0.061,0.087,0.067,0.075,0.126,0.091,0.1,0.104,0.104,0.146,0.104,0.392,
EI_IN_mu,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.002,0.001,0.003,0.003,0.003,0.006,0.005,0.006,0.005,0.005,0.026,0.023
EI_OUT_mu,0.012,0.011,0.015,0.01,0.013,0.01,0.015,0.011,0.007,0.009,0.012,0.01,0.007,0.012,0.01,0.013,0.011,0.011,0.021,0.026
EE_mu,0.012,0.011,0.015,0.01,0.012,0.01,0.012,0.008,0.005,0.008,0.01,0.009,0.006,0.009,0.009,0.009,0.009,0.01,0.01,0.032
II_mu,0.013,0.012,0.016,0.01,0.013,0.011,0.016,0.013,0.009,0.009,0.012,0.011,0.01,0.014,0.013,0.015,0.013,0.017,0.03,0.02
EI_IN_std,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.009
EI_OUT_std,0.006,0.006,0.007,0.006,0.006,0.003,0.006,0.005,0.004,0.006,0.005,0.004,0.004,0.004,0.002,0.002,0.003,0.002,0.002,0.006
EE_std,0.005,0.006,0.007,0.006,0.006,0.004,0.006,0.005,0.004,0.007,0.006,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.002,0.005
II_std,0.006,0.006,0.007,0.006,0.006,0.003,0.006,0.004,0.003,0.005,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.005
W_Cor,0.315,0.149,0.319,0.327,0.371,0.238,0.353,0.262,0.31,0.149,0.325,0.414,0.421,0.298,0.292,0.319,0.448,0.277,0.399,0.481
eW_Dist,0.173,0.132,0.077,0.085,0.071,0.119,0.041,0.054,0.047,0.022,0.032,0.018,0.013,0.016,0.011,0.008,0.006,0.005,0.005,0.003
iW_Dist,0.155,0.089,0.088,0.115,0.097,0.104,0.067,0.095,0.061,0.058,0.046,0.052,0.018,0.014,0.018,0.013,0.022,0.015,0.007,0.026
